#OTU ID	example1	example2	example3	example4	example5	example6
OTU_393	1	1	0	0	0	0
OTU_394	1	0	0	0	0	0
OTU_395	3	4	2	0	0	0
OTU_396	2	1	2	0	0	0
OTU_397	1	0	1	0	0	0
OTU_398	1	0	0	0	0	0
OTU_399	1	0	0	0	0	0
OTU_4	8	8	2	0	0	0
OTU_40	4	5	4	0	0	0
OTU_400	1	0	1	0	0	0
OTU_401	1	0	0	0	0	0
OTU_402	1	0	0	0	0	0
OTU_403	2	0	1	0	0	0
OTU_404	1	0	0	0	0	0
OTU_405	1	1	0	0	0	0
OTU_406	4	1	3	0	0	0
OTU_407	1	1	0	0	0	0
OTU_408	2	0	1	0	0	0
OTU_409	1	1	0	0	0	0
OTU_41	1	1	0	0	0	0
OTU_410	2	1	2	0	0	0
OTU_411	1	0	1	0	0	0
OTU_412	1	0	0	0	0	0
OTU_413	1	0	0	0	0	0
OTU_414	1	0	0	0	0	0
OTU_415	1	1	0	0	0	0
OTU_416	1	0	1	0	0	0
OTU_417	1	0	1	0	0	0
OTU_418	1	1	0	0	0	0
OTU_419	2	2	1	0	0	0
OTU_42	1	0	1	0	0	0
OTU_420	3	2	5	0	0	0
OTU_421	1	1	0	0	0	0
OTU_422	1	0	0	0	0	0
OTU_423	2	3	6	0	0	0
OTU_424	1	0	1	0	0	0
OTU_425	1	0	0	0	0	0
OTU_426	1	0	1	0	0	0
OTU_427	1	0	0	0	0	0
OTU_428	2	0	2	0	0	0
OTU_429	1	0	1	0	0	0
OTU_43	2	1	2	0	0	0
OTU_430	1	0	0	0	0	0
OTU_431	1	0	0	0	0	0
OTU_432	1	1	0	0	0	0
OTU_433	1	0	0	0	0	0
OTU_434	1	0	1	0	0	0
OTU_435	1	1	0	0	0	0
OTU_436	2	0	0	0	0	0
OTU_437	1	0	0	0	0	0
OTU_438	3	0	0	0	0	0
OTU_439	1	0	0	0	0	0
OTU_44	15	11	10	0	0	0
OTU_440	1	0	0	0	0	0
OTU_441	1	1	2	0	0	0
OTU_442	1	2	1	0	0	0
OTU_443	1	1	1	0	0	0
OTU_444	1	1	0	0	0	0
OTU_445	1	0	2	0	0	0
OTU_446	1	1	1	0	0	0
OTU_447	1	0	0	0	0	0
OTU_448	1	0	0	0	0	0
OTU_449	1	0	0	0	0	0
OTU_45	2	1	0	0	0	0
OTU_450	2	0	1	0	0	0
OTU_451	1	0	0	0	0	0
OTU_452	1	0	0	0	0	0
OTU_453	1	0	0	0	0	0
OTU_454	1	0	0	0	0	0
OTU_455	1	0	0	0	0	0
OTU_456	1	1	0	0	0	0
OTU_457	1	2	1	0	0	0
OTU_458	1	0	1	0	0	0
OTU_459	2	1	1	0	0	0
OTU_46	1	1	0	0	0	0
OTU_460	1	0	0	0	0	0
OTU_461	1	0	0	0	0	0
OTU_462	1	1	1	0	0	0
OTU_463	1	1	0	0	0	0
OTU_464	2	0	2	0	0	0
OTU_465	1	1	1	0	0	0
OTU_466	1	0	0	0	0	0
OTU_467	1	0	0	0	0	0
OTU_468	1	2	0	0	0	0
OTU_469	1	1	0	0	0	0
OTU_47	3	5	1	0	0	0
OTU_470	1	0	0	0	0	0
OTU_471	1	0	1	0	0	0
OTU_472	1	0	0	0	0	0
OTU_473	1	1	1	0	0	0
OTU_474	2	0	0	0	0	0
OTU_475	1	0	0	0	0	0
OTU_476	1	1	0	0	0	0
OTU_477	1	0	1	0	0	0
OTU_478	1	0	0	0	0	0
OTU_479	1	1	0	0	0	0
OTU_48	2	1	3	0	0	0
OTU_480	1	0	0	0	0	0
OTU_481	1	0	0	0	0	0
OTU_482	1	1	1	0	0	0
OTU_483	1	0	0	0	0	0
OTU_484	1	0	0	0	0	0
OTU_485	1	0	0	0	0	0
OTU_486	1	1	0	0	0	0
OTU_487	1	2	1	0	0	0
OTU_488	1	1	0	0	0	0
OTU_489	1	0	0	0	0	0
OTU_49	2	0	0	0	0	0
OTU_490	1	0	0	0	0	0
OTU_491	1	0	0	0	0	0
OTU_492	1	0	0	0	0	0
OTU_493	1	0	1	0	0	0
OTU_494	1	0	0	0	0	0
OTU_495	1	0	0	0	0	0
OTU_496	1	0	0	0	0	0
OTU_497	1	0	0	0	0	0
OTU_498	1	0	0	0	0	0
OTU_499	1	1	0	0	0	0
OTU_5	1	4	0	0	0	0
OTU_50	3	2	2	0	0	0
OTU_500	1	0	0	0	0	0
OTU_501	1	0	0	0	0	0
OTU_502	1	2	5	0	0	0
OTU_503	1	0	0	0	0	0
OTU_504	1	0	0	0	0	0
OTU_505	1	2	1	0	0	0
OTU_506	1	0	0	0	0	0
OTU_507	1	0	0	0	0	0
OTU_508	1	0	0	0	0	0
OTU_509	1	0	2	0	0	0
OTU_51	1	0	0	0	0	0
OTU_510	1	0	0	0	0	0
OTU_511	1	0	0	0	0	0
OTU_512	1	3	3	0	0	0
OTU_513	1	0	0	0	0	0
OTU_514	1	1	1	0	0	0
OTU_515	1	0	1	0	0	0
OTU_516	1	0	1	0	0	0
OTU_517	1	0	0	0	0	0
OTU_518	1	0	0	0	0	0
OTU_519	1	0	0	0	0	0
OTU_52	1	0	0	0	0	0
OTU_520	1	0	0	0	0	0
OTU_521	1	0	0	0	0	0
OTU_522	1	0	0	0	0	0
OTU_523	1	1	0	0	0	0
OTU_524	1	0	0	0	0	0
OTU_525	1	0	0	0	0	0
OTU_526	1	0	0	0	0	0
OTU_527	1	0	0	0	0	0
OTU_528	1	0	1	0	0	0
OTU_529	1	0	0	0	0	0
OTU_53	4	0	1	0	0	0
OTU_530	1	0	0	0	0	0
OTU_531	1	0	0	0	0	0
OTU_532	1	1	1	0	0	0
OTU_533	1	0	0	0	0	0
OTU_534	1	2	1	0	0	0
OTU_535	1	2	0	0	0	0
OTU_536	1	0	0	0	0	0
OTU_537	1	1	0	0	0	0
OTU_538	1	3	2	0	0	0
OTU_539	1	0	0	0	0	0
OTU_54	1	0	0	0	0	0
OTU_540	1	0	0	0	0	0
OTU_541	1	0	0	0	0	0
OTU_542	1	5	2	0	0	0
OTU_543	1	0	0	0	0	0
OTU_544	1	1	0	0	0	0
OTU_545	1	2	2	0	0	0
OTU_546	0	3	0	0	0	0
OTU_547	0	2	0	0	0	0
OTU_548	0	4	1	0	0	0
OTU_549	0	5	1	0	0	0
OTU_55	1	0	0	0	0	0
OTU_550	0	2	0	0	0	0
OTU_551	0	1	0	0	0	0
OTU_552	0	1	0	0	0	0
OTU_553	0	2	1	0	0	0
OTU_554	0	1	0	0	0	0
OTU_555	0	1	0	0	0	0
OTU_556	0	1	0	0	0	0
OTU_557	0	1	0	0	0	0
OTU_558	0	1	0	0	0	0
OTU_559	0	1	0	0	0	0
OTU_56	5	2	1	0	0	0
OTU_560	0	1	3	0	0	0
OTU_561	0	1	0	0	0	0
OTU_562	0	1	0	0	0	0
OTU_563	0	1	0	0	0	0
OTU_564	0	1	0	0	0	0
OTU_565	0	1	0	0	0	0
OTU_566	0	1	0	0	0	0
OTU_567	0	1	0	0	0	0
OTU_568	0	1	1	0	0	0
OTU_569	0	1	1	0	0	0
OTU_57	2	0	0	0	0	0
OTU_570	0	1	1	0	0	0
OTU_571	0	2	3	0	0	0
OTU_572	0	1	0	0	0	0
OTU_573	0	1	0	0	0	0
OTU_574	0	1	0	0	0	0
OTU_575	0	1	0	0	0	0
OTU_576	0	1	1	0	0	0
OTU_577	0	2	1	0	0	0
OTU_578	0	2	0	0	0	0
OTU_579	0	1	0	0	0	0
OTU_58	1	0	0	0	0	0
OTU_580	0	2	0	0	0	0
OTU_581	0	1	0	0	0	0
OTU_582	0	1	0	0	0	0
OTU_583	0	1	0	0	0	0
OTU_584	0	2	0	0	0	0
OTU_585	0	1	0	0	0	0
OTU_586	0	1	0	0	0	0
OTU_587	0	1	0	0	0	0
OTU_588	0	1	0	0	0	0
OTU_589	0	2	0	0	0	0
OTU_59	2	1	2	0	0	0
OTU_590	0	1	0	0	0	0
OTU_591	0	2	1	0	0	0
OTU_592	0	1	0	0	0	0
OTU_593	0	1	0	0	0	0
OTU_594	0	1	0	0	0	0
OTU_595	0	2	0	0	0	0
